"No.","Time","Source","Destination","Protocol","Length","Info"
"140","243.227023","fe80::d52e:f184:1366:3ec2","ff02::fb","MDNS","101","Standard query 0x0000 PTR _nmea-0183._tcp.local, ""QM"" question"
"141","243.227023","10.0.0.2","224.0.0.251","MDNS","81","Standard query 0x0000 PTR _nmea-0183._tcp.local, ""QM"" question"
"142","253.853547","fe80::d52e:f184:1366:3ec2","ff02::fb","MDNS","107","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"143","253.853547","10.0.0.2","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"144","259.231456","fe80::d52e:f184:1366:3ec2","ff02::fb","MDNS","101","Standard query 0x0000 PTR _nmea-0183._tcp.local, ""QM"" question"
"145","259.231456","10.0.0.2","224.0.0.251","MDNS","81","Standard query 0x0000 PTR _nmea-0183._tcp.local, ""QM"" question"
"146","260.483362","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"147","260.909841","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"148","284.388494","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"149","284.545434","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"150","285.854406","fe80::d52e:f184:1366:3ec2","ff02::fb","MDNS","107","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"151","285.854406","10.0.0.2","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"152","308.475984","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"153","308.599750","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"154","318.606245","fe80::d52e:f184:1366:3ec2","ff02::fb","MDNS","101","Standard query 0x0000 PTR _nmea-0183._tcp.local, ""QM"" question"
"155","318.606245","10.0.0.2","224.0.0.251","MDNS","81","Standard query 0x0000 PTR _nmea-0183._tcp.local, ""QM"" question"
"156","319.607773","fe80::d52e:f184:1366:3ec2","ff02::fb","MDNS","101","Standard query 0x0000 PTR _nmea-0183._tcp.local, ""QM"" question"
"157","319.607773","10.0.0.2","224.0.0.251","MDNS","81","Standard query 0x0000 PTR _nmea-0183._tcp.local, ""QM"" question"
"158","321.608799","fe80::d52e:f184:1366:3ec2","ff02::fb","MDNS","101","Standard query 0x0000 PTR _nmea-0183._tcp.local, ""QM"" question"
"159","321.608799","10.0.0.2","224.0.0.251","MDNS","81","Standard query 0x0000 PTR _nmea-0183._tcp.local, ""QM"" question"
"160","325.608450","fe80::d52e:f184:1366:3ec2","ff02::fb","MDNS","101","Standard query 0x0000 PTR _nmea-0183._tcp.local, ""QM"" question"
"161","325.608450","10.0.0.2","224.0.0.251","MDNS","81","Standard query 0x0000 PTR _nmea-0183._tcp.local, ""QM"" question"
"162","332.409757","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"163","332.632660","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"164","333.609734","fe80::d52e:f184:1366:3ec2","ff02::fb","MDNS","101","Standard query 0x0000 PTR _nmea-0183._tcp.local, ""QM"" question"
"165","333.609734","10.0.0.2","224.0.0.251","MDNS","81","Standard query 0x0000 PTR _nmea-0183._tcp.local, ""QM"" question"
"166","342.530697","c2:01:78:a0:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","355","Device ID: Gateway  Port ID: FastEthernet0/0  "
"167","342.690560","c2:02:59:88:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","355","Device ID: Victima  Port ID: FastEthernet0/0  "
